city,date,fare,ride_id
Martinezhaven,2/20/2019 19:32,13.34,2760690000000
Port Frank,4/19/2019 19:35,26.47,6722710000000
Valentineton,3/2/2019 14:44,39.77,6770390000000
Hurleymouth,3/3/2019 11:28,36.31,167035000000
Carriemouth,2/25/2019 8:26,32.37,6918430000000
Port Samanthamouth,4/16/2019 18:34,9.2,8712250000000
Williamsstad,1/23/2019 17:51,19.62,125986000000
Royland,1/7/2019 2:23,24.5,3620850000000
New Jacobville,1/5/2019 5:02,34.11,2828520000000
Roberthaven,3/6/2019 22:56,12.38,3372960000000
South Evanton,1/7/2019 18:47,43.61,9122500000000
New Paulton,5/3/2019 12:09,21.67,9086560000000
Karenberg,3/11/2019 17:26,36.15,7796760000000
Rodneyfort,1/30/2019 12:34,16.99,5778730000000
East Kaylahaven,4/4/2019 2:35,23.18,57422927996
Huntermouth,2/19/2019 3:19,7.05,1616520000000
Barajasview,1/23/2019 13:23,37.68,4108450000000
Williamsstad,3/29/2019 21:43,35.58,4747780000000
North Jason,3/8/2019 20:06,25.21,3180080000000
Christopherfurt,4/17/2019 2:25,23.3,7819060000000
Liumouth,1/11/2019 17:15,36.78,1464520000000
Johnton,1/17/2019 2:12,32.19,8526300000000
West Angela,3/8/2019 1:08,41.06,6204870000000
Jerryton,1/4/2019 16:38,37.2,5637870000000
Erikaland,2/18/2019 7:47,20.62,3294150000000
North Jason,2/7/2019 7:27,20,473650000000
Lake Scottton,5/5/2019 11:21,18.77,405382000000
Simpsonburgh,3/22/2019 8:56,22.05,3495180000000
Raymondhaven,3/12/2019 6:59,16.98,6447700000000
West Robert,4/5/2019 3:18,44.58,4246010000000
North Jason,3/18/2019 10:10,6.41,2865830000000
Port Samanthamouth,1/23/2019 9:08,35.51,3116860000000
West Robert,1/21/2019 17:21,27.11,1369910000000
Jerryton,1/5/2019 15:36,37.91,1587080000000
Port Samanthamouth,2/3/2019 7:07,18.03,9292190000000
Liumouth,1/15/2019 7:55,14.55,4379350000000
West Heidi,4/3/2019 3:16,24.76,1820230000000
Loganberg,1/21/2019 16:26,22.86,1954300000000
Grahamburgh,2/17/2019 9:54,30.25,4047930000000
Raymondhaven,5/6/2019 23:22,25.76,8721020000000
Karenside,1/25/2019 15:35,14.52,2652360000000
Port Frank,4/6/2019 21:38,18.08,5474890000000
Leahton,4/2/2019 17:39,22.76,5808730000000
Port Samanthamouth,4/22/2019 3:32,29.67,3154060000000
Jerryton,4/13/2019 21:47,32.08,8499180000000
West Patrickchester,3/7/2019 15:47,23.66,3066090000000
West Samuelburgh,3/3/2019 16:07,27.48,100531000000
North Markport,3/31/2019 13:58,29.41,3093470000000
West Angela,3/10/2019 11:23,27.1,1365320000000
Grahamburgh,3/12/2019 2:44,22.97,4898010000000
South Michelleport,1/8/2019 9:38,23.77,4916160000000
East Kaylahaven,4/2/2019 7:05,9.67,2088460000000
South Karenland,4/22/2019 21:37,22.86,6728150000000
Lake Danielberg,2/24/2019 12:05,9.63,9149330000000
Justinberg,4/26/2019 8:41,8.83,1823090000000
Karenberg,4/29/2019 20:54,28.41,9052850000000
South Phillip,2/9/2019 16:46,7.89,3203190000000
North Madeline,4/5/2019 18:23,29.69,240703000000
New Kimberlyborough,5/1/2019 13:56,22.59,9250930000000
South Jack,4/24/2019 19:33,38.04,2197990000000
Erikaland,3/11/2019 2:19,27.39,132014000000
New Paulville,3/27/2019 2:18,7.29,7046760000000
Hurleymouth,3/26/2019 20:22,41.15,4707260000000
Liumouth,4/12/2019 3:38,43.34,7857230000000
Deanville,5/1/2019 21:53,8.28,592955000000
Karenside,4/2/2019 19:22,41.93,4093610000000
West Angela,1/30/2019 18:08,19.13,2078140000000
Liumouth,2/1/2019 20:17,24.81,5470070000000
Jerryton,3/27/2019 12:48,13.29,8959840000000
South Phillip,5/4/2019 9:10,28.3,8696570000000
Port Johnbury,4/27/2019 16:22,25.67,2746330000000
Raymondhaven,2/8/2019 23:57,5.7,3930030000000
Port David,3/7/2019 18:37,42.04,9905960000000
Robertport,3/6/2019 9:51,6.73,9679760000000
Loganberg,3/16/2019 11:46,23.99,9492900000000
Karenside,4/19/2019 10:17,36.01,1322740000000
Lake Jonathanshire,3/9/2019 23:45,19.89,2389500000000
Pattyland,1/30/2019 12:35,8.57,4688890000000
West Robert,4/13/2019 6:56,32.94,9603610000000
Justinberg,4/12/2019 5:27,17.03,8374760000000
West Josephberg,2/9/2019 14:07,4.42,8303790000000
North Markport,1/21/2019 11:49,27.68,4556760000000
Williamsview,1/9/2019 15:24,44.46,2195530000000
Raymondhaven,2/1/2019 5:51,13.86,8721050000000
South Latoya,2/12/2019 16:32,30.22,7388420000000
Deanville,3/29/2019 4:07,5.32,2612670000000
Amandaburgh,3/5/2019 2:15,26.28,906851000000
Jerryton,1/27/2019 14:46,29.08,6160530000000
Deanville,3/24/2019 0:26,30.55,5276110000000
West Anthony,1/23/2019 12:32,23.24,596601000000
West Anthony,2/24/2019 6:14,39.2,8491410000000
West Heidi,3/30/2019 10:46,22.41,1711350000000
Royland,1/1/2019 3:46,7.57,5815380000000
South Latoya,3/2/2019 6:06,10.35,338289000000
Johnton,1/8/2019 17:33,43.75,195319000000
West Angela,1/30/2019 18:46,32.31,7288680000000
Rodneyfort,1/8/2019 0:29,29.4,1184250000000
Royland,1/2/2019 20:08,10.19,668201000000
New Paulville,1/31/2019 5:32,20.8,1092840000000
Huntermouth,4/9/2019 20:23,35.11,3005610000000
New Paulville,1/30/2019 15:21,7.02,8504960000000
Justinberg,5/3/2019 2:49,36.06,929542000000
Port Angela,3/31/2019 15:22,30.77,662264000000
Port Angela,4/9/2019 14:34,11.9,7009810000000
Christopherfurt,1/5/2019 22:21,33.51,1901030000000
South Michelleport,4/22/2019 3:15,43.62,4663610000000
Williamsstad,2/13/2019 20:07,33.72,3796710000000
Lake Jonathanshire,4/7/2019 18:09,24.28,7796810000000
Robertport,3/20/2019 19:11,20.21,9630920000000
Port Angela,2/8/2019 16:30,30.38,5165540000000
Barajasview,2/8/2019 18:07,24.49,2612170000000
South Evanton,1/24/2019 7:08,17.83,2996660000000
Lake Danielberg,2/13/2019 11:01,43.96,100024000000
Royland,4/19/2019 0:05,25.4,9847760000000
Rodneyfort,2/8/2019 7:35,30.02,2497020000000
East Kaylahaven,1/17/2019 10:15,40.82,6342490000000
West Christopherberg,1/17/2019 14:30,9.04,5154850000000
New Jacobville,1/15/2019 15:27,27.24,3812960000000
Lake Jonathanshire,1/2/2019 14:14,13.89,424255000000
Port Samanthamouth,4/25/2019 9:50,25.5,1169130000000
West Heidi,3/26/2019 9:45,22.33,826311000000
Karenside,4/14/2019 5:11,13.13,3659610000000
Valentineton,2/1/2019 14:11,9.68,2132100000000
Raymondhaven,2/23/2019 11:13,4.24,294151000000
Carriemouth,3/11/2019 21:35,16.78,1519390000000
West Josephberg,1/16/2019 16:17,7.04,2507080000000
Port Samanthamouth,3/1/2019 8:58,43.25,1389180000000
Karenberg,3/30/2019 11:38,24.64,4539330000000
New Paulton,3/10/2019 1:07,28,1067160000000
Joneschester,2/7/2019 18:36,6.34,2605460000000
North Jasmine,2/8/2019 19:03,4.86,1276630000000
Valentineton,2/27/2019 0:40,25.4,6152360000000
New Paulton,2/20/2019 16:59,24.29,7738130000000
South Evanton,4/28/2019 8:15,22.86,7585360000000
North Jasmine,1/22/2019 17:25,31.68,712302000000
West Anthony,3/17/2019 0:30,35.42,4561320000000
Jerryton,4/29/2019 2:49,41.27,902958000000
Grahamburgh,1/9/2019 7:00,13.55,5462600000000
South Jack,3/30/2019 20:21,4.2,4817670000000
West Christopherberg,1/23/2019 21:23,30.93,5335680000000
Lake Scottton,3/26/2019 0:49,9.79,1827900000000
West Patrickchester,1/14/2019 1:15,24.82,5934940000000
Royland,1/17/2019 14:08,27.92,3147270000000
South Karenland,2/14/2019 14:00,39.53,2861640000000
Erikaland,3/27/2019 13:11,36.52,2195950000000
Rodneyfort,3/20/2019 10:40,42.57,6354950000000
Williamsstad,5/1/2019 1:26,26.81,4542950000000
Richardfort,2/13/2019 12:46,14,910050000000
West Ericstad,1/25/2019 12:29,20.03,3276480000000
Grahamburgh,3/5/2019 5:39,4.33,803729000000
North Barbara,5/4/2019 2:33,24.09,9275090000000
West Robert,1/4/2019 6:10,35.35,9554290000000
Justinberg,3/14/2019 10:46,36.32,6771690000000
South Michelleport,3/3/2019 16:13,41.62,2339780000000
North Jasmine,2/22/2019 1:56,25.33,1319970000000
Barajasview,3/1/2019 11:06,28.25,7225830000000
Carriemouth,4/4/2019 13:22,12.91,4276690000000
Amandaburgh,2/24/2019 23:10,43.66,6573820000000
Johnton,3/27/2019 0:10,18.89,3634070000000
Port Angela,3/4/2019 3:26,40.35,4930810000000
Rodneyfort,5/6/2019 22:21,27.16,3765500000000
Amandaburgh,2/10/2019 20:42,36.17,6455620000000
North Madeline,2/25/2019 4:32,13.58,4932840000000
West Angela,3/1/2019 11:13,30.3,9673530000000
Joneschester,1/3/2019 5:45,25.47,5540180000000
Joneschester,1/3/2019 1:03,17.97,5439310000000
South Phillip,1/29/2019 11:26,35.23,7418230000000
Liumouth,3/30/2019 3:13,4.66,3164440000000
West Anthony,1/10/2019 2:31,32.34,1479320000000
North Jason,2/26/2019 11:57,13.88,2494980000000
North Jason,3/21/2019 9:45,10.42,6601540000000
Carriemouth,4/28/2019 14:28,11.46,6991850000000
Huntermouth,5/4/2019 15:20,36.77,7186620000000
South Phillip,4/18/2019 6:03,39.95,9719020000000
South Jack,2/1/2019 22:32,28.37,3372010000000
Port Johnbury,5/5/2019 6:26,25.3,2541020000000
South Phillip,5/6/2019 5:05,43.43,2435200000000
North Jasmine,4/10/2019 11:45,38.24,2955000000000
South Michelleport,1/27/2019 19:38,15.45,7465260000000
North Madeline,4/7/2019 8:54,32.99,1819350000000
Christopherfurt,2/24/2019 2:56,40.33,9584190000000
Williamsstad,2/23/2019 17:42,4.68,9109970000000
Martinezhaven,4/18/2019 1:40,34.7,2023090000000
Simpsonburgh,4/3/2019 8:47,4.74,8556330000000
New Jacobville,2/4/2019 4:57,27.63,4329150000000
South Karenland,2/12/2019 3:42,5.78,8890440000000
Royland,1/27/2019 1:01,24.56,9656710000000
Karenside,1/22/2019 13:11,24.72,5326730000000
West Robert,5/5/2019 5:18,10.15,9392180000000
Port Samanthamouth,4/27/2019 8:48,12.84,5659910000000
West Samuelburgh,3/7/2019 1:51,14.55,7160360000000
New Kimberlyborough,3/29/2019 20:35,42.51,8296940000000
Port David,3/27/2019 11:56,15.64,5338480000000
Karenside,3/18/2019 12:48,36.96,7605140000000
New Paulton,2/8/2019 17:11,39.65,8505960000000
West Ericstad,1/8/2019 9:03,32.99,6688340000000
Port Johnbury,3/21/2019 2:20,32.8,5450930000000
Port Samanthamouth,3/27/2019 0:31,16.05,1412280000000
Port Frank,1/8/2019 23:51,42.13,2099160000000
Lake Jonathanshire,4/6/2019 11:30,16.84,6164450000000
West Angela,2/5/2019 18:53,36.37,7832430000000
Port Samanthamouth,3/27/2019 1:08,21.46,9991540000000
North Madeline,3/4/2019 17:20,21.38,9544490000000
Williamsview,1/15/2019 0:10,44.33,4627030000000
Grahamburgh,2/21/2019 6:55,22.65,816396000000
South Evanton,3/6/2019 3:56,30.87,5811920000000
Loganberg,3/27/2019 13:32,4.72,6120690000000
Carriemouth,2/21/2019 16:38,44.18,4528590000000
Port David,1/2/2019 11:51,7.45,6148350000000
West Heidi,1/30/2019 12:59,30.84,8936560000000
Williamsstad,3/5/2019 2:33,25.02,1313210000000
North Barbara,2/4/2019 8:12,42.59,4971250000000
Lake Danielberg,3/17/2019 19:23,10.18,4714400000000
North Markport,4/13/2019 7:37,20.09,4311210000000
Port Angela,5/2/2019 4:14,35.76,7945960000000
Port Samanthamouth,3/15/2019 15:08,25.97,7725960000000
West Angela,5/3/2019 9:04,24.07,7808190000000
Leahton,2/21/2019 20:37,24.13,6759670000000
North Markport,4/28/2019 4:34,40.46,2567890000000
Karenside,3/9/2019 3:50,40.86,1757540000000
Jerryton,1/7/2019 12:05,7.86,707330000000
South Michelleport,4/14/2019 1:20,37.93,1533270000000
Valentineton,3/25/2019 20:45,22.53,2335050000000
East Kaylahaven,4/9/2019 16:57,10.03,8036810000000
Erikaland,4/13/2019 12:26,25.22,4847170000000
West Christopherberg,1/8/2019 8:25,37.78,8767060000000
Pattyland,2/1/2019 22:43,32.03,2850240000000
Deanville,2/8/2019 23:33,21.22,4786810000000
West Christopherberg,3/21/2019 0:14,43.87,5085480000000
Justinberg,3/23/2019 6:28,30.58,3503300000000
Lake Danielberg,2/24/2019 19:34,34.82,2442270000000
Port Samanthamouth,1/30/2019 1:19,38.78,6119830000000
Lake Danielberg,2/28/2019 15:08,44.96,6319590000000
Deanville,4/15/2019 1:36,24.3,1065300000000
Pattyland,2/15/2019 15:13,44.03,1556660000000
Karenside,1/27/2019 8:52,7.65,473230000000
Port Angela,4/22/2019 16:43,7.91,6767310000000
West Angela,4/14/2019 18:40,32.77,4995730000000
South Karenland,3/26/2019 6:12,35.5,1482390000000
New Jacobville,2/18/2019 21:09,39.97,8028700000000
Roberthaven,3/14/2019 16:12,36.84,4123410000000
Lake Scottton,4/24/2019 11:54,5.31,9668340000000
Amandaburgh,1/11/2019 2:22,29.24,7279900000000
Reynoldsfurt,5/5/2019 17:38,14.95,1404730000000
West Patrickchester,2/9/2019 5:54,16.1,9112330000000
Christopherfurt,4/13/2019 8:29,37.22,3288050000000
South Evanton,4/27/2019 0:58,27.78,9377580000000
Lake Scottton,2/7/2019 5:08,10.76,4201250000000
Roberthaven,3/14/2019 15:24,35.27,4034560000000
Rodneyfort,3/4/2019 15:13,28.69,275698000000
West Josephberg,2/17/2019 6:28,41.49,2821330000000
Lake Jonathanshire,3/21/2019 0:18,37.95,8353660000000
Simpsonburgh,2/5/2019 16:02,25.58,2038700000000
West Heidi,3/19/2019 3:15,5.65,2474790000000
North Barbara,3/23/2019 20:59,23.76,5550270000000
North Jasmine,3/11/2019 21:03,37.93,4221380000000
West Gabriel,4/29/2019 1:22,36.7,4103500000000
Liumouth,4/14/2019 6:43,31.63,6166290000000
Carriemouth,3/2/2019 15:40,28.04,5138540000000
West Robert,3/24/2019 15:21,34.9,9472330000000
North Jasmine,5/2/2019 10:24,29.86,3198990000000
Carriemouth,3/21/2019 15:40,44.64,9560840000000
Lake Scottton,2/15/2019 6:49,22.75,8382040000000
North Madeline,4/12/2019 13:57,7.77,9273340000000
Lake Danielberg,1/7/2019 9:41,17.39,4355540000000
North Madeline,4/30/2019 16:02,37.48,2508130000000
Port David,1/7/2019 20:03,20.49,5846260000000
Royland,2/11/2019 3:46,30.41,7200100000000
West Samuelburgh,2/20/2019 1:05,19.65,6623790000000
West Angela,3/18/2019 12:08,34.05,5332410000000
West Patrickchester,3/6/2019 4:19,32.37,3684670000000
Port Frank,2/5/2019 10:34,20.1,4443070000000
New Kimberlyborough,2/9/2019 5:48,39.55,6010050000000
Justinberg,4/20/2019 7:37,29.07,209655000000
West Angela,4/18/2019 12:07,16.18,5770100000000
Justinberg,3/10/2019 9:19,37.89,5563130000000
Valentineton,1/10/2019 17:29,19.91,774511000000
Williamsview,4/7/2019 0:32,18.92,23948941587
South Jack,1/31/2019 2:51,21.75,6971160000000
Port Frank,2/18/2019 18:49,39.06,7301850000000
Leahton,2/13/2019 11:40,16.79,4744790000000
South Michelleport,2/22/2019 7:44,22.52,8522740000000
South Karenland,4/25/2019 14:44,24.86,1307710000000
Richardfort,2/16/2019 13:52,17.92,820639000000
Williamsstad,4/16/2019 23:07,23.12,969458000000
South Michelleport,2/12/2019 7:41,27.7,5582880000000
West Patrickchester,4/13/2019 19:49,33.33,1834060000000
Martinezhaven,4/18/2019 18:37,5.81,2124250000000
North Jason,1/23/2019 22:51,21.95,6701800000000
North Jason,4/18/2019 12:19,22.42,4927790000000
Lake Scottton,5/3/2019 22:33,9.01,1289760000000
West Christopherberg,3/1/2019 21:33,11.97,6422550000000
North Markport,4/10/2019 22:15,38.02,8834530000000
Christopherfurt,4/9/2019 0:32,29.96,9825840000000
North Madeline,1/29/2019 16:12,17.57,2596460000000
Richardfort,2/1/2019 20:18,10.26,9554940000000
South Phillip,1/25/2019 5:04,38.15,3599160000000
East Kaylahaven,2/11/2019 0:24,43.19,8671040000000
Rodneyfort,4/11/2019 2:57,36.3,9048910000000
Pattyland,4/26/2019 8:31,19.99,8827780000000
South Karenland,3/24/2019 23:37,41.44,604857000000
Port David,3/24/2019 21:58,28.84,5266780000000
Rodneyfort,3/10/2019 5:23,29.13,4634910000000
New Paulton,2/2/2019 16:37,17.19,8500430000000
Williamsstad,3/12/2019 1:39,18.67,2161830000000
South Michelleport,1/29/2019 20:40,9.79,5529060000000
West Christopherberg,3/21/2019 2:57,21.41,7703400000000
Lake Scottton,3/25/2019 21:46,36.92,7043640000000
Port Angela,3/19/2019 12:32,17.21,1694210000000
Christopherfurt,4/17/2019 22:12,32.39,653652000000
Joneschester,2/27/2019 8:19,33.34,2386090000000
Loganberg,1/25/2019 1:59,26.03,9123750000000
South Phillip,2/19/2019 13:19,33.07,8518160000000
Deanville,1/23/2019 13:00,42.45,7286210000000
New Kimberlyborough,1/30/2019 21:46,29.09,8587120000000
Port Johnbury,4/11/2019 10:26,9.1,7804750000000
West Patrickchester,4/19/2019 3:26,44.5,8638320000000
West Robert,1/11/2019 11:10,5.16,1592590000000
New Paulton,3/28/2019 3:35,14.94,3703490000000
South Latoya,3/19/2019 16:19,31.72,363818000000
Robertport,2/18/2019 15:01,43.47,7995690000000
Valentineton,1/19/2019 19:40,6.71,9052710000000
South Latoya,1/18/2019 20:09,10.98,7144190000000
Simpsonburgh,1/12/2019 4:35,24.83,3151660000000
West Patrickchester,2/12/2019 16:33,22.64,4553730000000
Richardfort,4/17/2019 2:26,23,720021000000
Hurleymouth,2/20/2019 10:47,17.07,7023700000000
Leahton,1/27/2019 8:09,29.36,2921810000000
West Anthony,4/29/2019 1:12,27.04,4375350000000
New Kimberlyborough,1/5/2019 9:33,39.47,2812690000000
South Latoya,3/19/2019 22:03,40.29,660213000000
Williamsstad,4/12/2019 12:30,17.57,7099680000000
South Karenland,2/1/2019 19:45,31.64,9377350000000
North Jason,4/16/2019 15:23,24.07,9726120000000
West Angela,1/27/2019 9:35,9.24,2623130000000
Lake Danielberg,2/8/2019 5:58,10.31,2464530000000
Port Samanthamouth,4/6/2019 13:42,24.18,8484620000000
New Jacobville,2/9/2019 2:25,37.51,5692070000000
New Kimberlyborough,3/10/2019 13:55,10.83,1558580000000
New Kimberlyborough,1/8/2019 18:59,13.34,626984000000
Karenberg,3/5/2019 1:38,44.1,9226780000000
South Phillip,4/11/2019 10:09,21.06,4832100000000
Loganberg,1/20/2019 1:34,38.66,7239150000000
Carriemouth,5/1/2019 4:53,10.97,8792110000000
West Patrickchester,1/21/2019 14:48,19.44,2088370000000
Martinezhaven,2/7/2019 21:45,4.31,9333330000000
Karenside,1/8/2019 8:49,22.64,2411620000000
North Jason,3/24/2019 7:40,32.72,7960290000000
Lake Danielberg,3/28/2019 9:56,28.53,9808250000000
Pattyland,4/3/2019 3:29,14.06,5399010000000
Pattyland,2/21/2019 17:53,7.06,5808460000000
Loganberg,1/11/2019 4:27,44.34,1376540000000
Leahton,2/28/2019 13:10,9.08,8197500000000
Reynoldsfurt,1/17/2019 21:35,24.84,5000180000000
Raymondhaven,2/22/2019 23:54,7.64,7311720000000
South Latoya,2/12/2019 22:59,5.54,839760000000
Lake Scottton,1/18/2019 2:32,31.92,5706290000000
Port David,2/24/2019 22:20,35.63,3354530000000
Roberthaven,4/5/2019 14:01,31.09,1016220000000
Rogerston,3/24/2019 2:56,39.6,9196190000000
Karenberg,4/27/2019 14:57,44.73,3800720000000
Martinezhaven,4/14/2019 16:26,32.57,971302000000
South Evanton,1/20/2019 23:10,25.94,3431710000000
North Jasmine,4/26/2019 12:08,35.33,6857330000000
Hurleymouth,1/12/2019 1:19,10.64,8125600000000
West Robert,3/7/2019 15:57,12.22,2705600000000
Deanville,4/21/2019 23:32,33.37,7763080000000
South Michelleport,1/9/2019 1:48,10.68,3236910000000
Royland,2/2/2019 12:51,42.52,7835420000000
Rodneyfort,4/10/2019 23:38,25.4,9060370000000
North Madeline,1/12/2019 9:42,20.82,8114790000000
Lake Danielberg,4/28/2019 4:00,39.82,7889100000000
Port Johnbury,5/2/2019 12:46,42.42,3245380000000
Richardfort,4/21/2019 3:44,9.54,3698150000000
Liumouth,3/22/2019 4:06,33.1,3678560000000
Roberthaven,1/21/2019 19:25,23.14,4939140000000
Amandaburgh,1/21/2019 4:12,9.26,5528430000000
South Evanton,4/25/2019 0:37,26.84,1539240000000
Port Samanthamouth,3/25/2019 13:20,34.94,821747000000
South Michelleport,3/13/2019 4:21,10.44,5684860000000
North Madeline,1/14/2019 3:43,31.88,8713000000000
Hurleymouth,3/17/2019 6:50,29.95,5225180000000
Port David,4/10/2019 14:27,26.68,5361390000000
Pattyland,2/10/2019 2:55,24.39,7264850000000
Liumouth,3/17/2019 19:21,19.05,9118270000000
Robertport,4/3/2019 1:20,15.14,6669720000000
Hurleymouth,4/1/2019 6:26,9.94,4063430000000
West Samuelburgh,4/17/2019 11:25,15.03,4021530000000
South Phillip,3/18/2019 4:11,17.57,8431000000000
West Josephberg,1/29/2019 2:13,7.58,6142970000000
Roberthaven,2/16/2019 10:23,14.95,6653680000000
West Christopherberg,3/27/2019 23:57,21.55,2201810000000
Christopherfurt,3/30/2019 13:15,31.3,7457130000000
Hurleymouth,2/1/2019 3:23,22.39,6071730000000
Port Frank,3/16/2019 20:54,30.24,1454210000000
Lake Danielberg,1/16/2019 11:59,20.07,8448610000000
West Ericstad,3/28/2019 13:29,22.28,3135270000000
Karenside,3/11/2019 16:18,44.29,3269160000000
South Evanton,3/17/2019 0:31,36.31,2783520000000
West Heidi,5/5/2019 15:47,37.75,3646770000000
Robertport,2/28/2019 22:50,13.39,681044000000
South Jack,1/5/2019 11:31,13.14,6809750000000
West Josephberg,2/28/2019 18:19,11.1,3529530000000
Port Frank,3/26/2019 19:09,28.83,889805000000
Barajasview,2/19/2019 2:25,26.83,937248000000
Justinberg,1/3/2019 22:50,5.81,9261160000000
North Barbara,4/17/2019 2:49,39.18,3503290000000
West Angela,3/8/2019 13:24,4.92,5445150000000
South Latoya,3/19/2019 7:54,30.03,9560330000000
Hurleymouth,1/18/2019 10:59,4.66,8622880000000
Johnton,4/5/2019 7:12,22.87,1030620000000
Carriemouth,3/27/2019 2:11,38.69,4407120000000
Reynoldsfurt,4/19/2019 0:56,13.63,7990080000000
Christopherfurt,3/16/2019 19:46,19.61,2290370000000
Liumouth,4/28/2019 0:26,5.42,8026920000000
New Kimberlyborough,3/19/2019 7:17,15.78,6414960000000
Martinezhaven,3/7/2019 12:26,23.55,7385330000000
East Kaylahaven,4/6/2019 16:17,35.79,8930600000000
Simpsonburgh,4/26/2019 9:31,33.71,2597480000000
Lake Jonathanshire,1/28/2019 0:07,5.67,9756570000000
Robertport,4/19/2019 19:45,39.57,3970340000000
South Karenland,3/20/2019 10:34,33.24,3097270000000
Raymondhaven,3/7/2019 20:59,17.66,9257560000000
Port David,2/18/2019 14:47,20.16,1847430000000
Royland,2/20/2019 19:14,38.28,3616650000000
East Kaylahaven,1/29/2019 7:28,41.62,7157220000000
Valentineton,2/23/2019 11:46,19.99,9658410000000
